Iteration,wSeparation,wAlignment,wCohesion,wWaypoint,s_wSeparation,s_wAlignment,s_wCohesion,s_wWaypoint,SecondaryFraction,MeanTransit,Throughput,TotalCollisions,BoidBoidCollisions,BoidWallCollisions,Finished,Spawned
1,2,1,0.5,2,4,1,0.5,2,0,60.156,5.000,772,772,0,498,500
2,2,1,0.5,2,4,1,0.5,2,0,59.955,5.000,676,676,0,498,500
3,2,1,0.5,2,4,1,0.5,2,0,59.651,4.999,800,800,0,498,500
4,2,1,0.5,2,4,1,0.5,2,0,59.901,5.959,684,684,0,500,500
5,2,1,0.5,2,4,1,0.5,2,0,59.780,5.312,691,691,0,500,500
6,2,1,0.5,2,4,1,0.5,2,0,59.860,5.000,772,772,0,499,500
7,2,1,0.5,2,4,1,0.5,2,0,59.493,4.999,757,757,0,499,500
8,2,1,0.5,2,4,1,0.5,2,0,59.987,6.484,861,861,0,500,500
9,2,1,0.5,2,4,1,0.5,2,0,59.632,6.076,839,839,0,500,500
10,2,1,0.5,2,4,1,0.5,2,0,59.718,5.561,894,894,0,500,500
11,2,1,0.5,2,4,1,0.5,2,0,59.418,4.999,784,784,0,499,500
12,2,1,0.5,2,4,1,0.5,2,0,60.181,5.000,741,741,0,499,500
13,2,1,0.5,2,4,1,0.5,2,0,59.865,5.476,824,824,0,500,500
14,2,1,0.5,2,4,1,0.5,2,0,59.991,5.000,877,877,0,498,500
15,2,1,0.5,2,4,1,0.5,2,0,60.000,5.000,924,924,0,499,500
16,2,1,0.5,2,4,1,0.5,2,0,59.569,5.000,764,764,0,499,500
17,2,1,0.5,2,4,1,0.5,2,0,60.100,6.512,988,988,0,500,500
18,2,1,0.5,2,4,1,0.5,2,0,60.167,5.000,810,810,0,498,500
19,2,1,0.5,2,4,1,0.5,2,0,59.807,6.465,745,745,0,500,500
20,2,1,0.5,2,4,1,0.5,2,0,59.829,5.172,663,663,0,500,500
