Iteration,wSeparation,wAlignment,wCohesion,wWaypoint,s_wSeparation,s_wAlignment,s_wCohesion,s_wWaypoint,SecondaryFraction,MeanTransit,Throughput,TotalCollisions,BoidBoidCollisions,BoidWallCollisions,Finished,Spawned
1,2,1,0.5,2,1.5,1,0.7,2,0.5,60.506,6.567,1697,1697,0,500,500
2,2,1,0.5,2,1.5,1,0.7,2,0.5,59.883,6.739,1671,1671,0,500,500
3,2,1,0.5,2,1.5,1,0.7,2,0.5,60.101,5.360,1552,1552,0,500,500
4,2,1,0.5,2,1.5,1,0.7,2,0.5,60.598,4.999,1449,1449,0,499,500
5,2,1,0.5,2,1.5,1,0.7,2,0.5,60.455,5.000,1484,1484,0,499,500
6,2,1,0.5,2,1.5,1,0.7,2,0.5,59.665,5.000,1574,1574,0,499,500
7,2,1,0.5,2,1.5,1,0.7,2,0.5,59.484,4.999,1657,1657,0,499,500
8,2,1,0.5,2,1.5,1,0.7,2,0.5,60.332,5.000,1534,1534,0,499,500
9,2,1,0.5,2,1.5,1,0.7,2,0.5,60.301,6.234,1509,1509,0,500,500
10,2,1,0.5,2,1.5,1,0.7,2,0.5,60.389,6.006,1541,1541,0,500,500
11,2,1,0.5,2,1.5,1,0.7,2,0.5,60.260,5.091,1637,1637,0,500,500
12,2,1,0.5,2,1.5,1,0.7,2,0.5,60.238,6.617,1601,1601,0,500,500
13,2,1,0.5,2,1.5,1,0.7,2,0.5,60.513,5.000,1638,1638,0,499,500
14,2,1,0.5,2,1.5,1,0.7,2,0.5,60.181,6.521,1481,1481,0,500,500
15,2,1,0.5,2,1.5,1,0.7,2,0.5,60.257,5.594,1516,1516,0,500,500
16,2,1,0.5,2,1.5,1,0.7,2,0.5,60.043,5.609,1572,1572,0,500,500
17,2,1,0.5,2,1.5,1,0.7,2,0.5,60.527,5.000,1626,1626,0,499,500
18,2,1,0.5,2,1.5,1,0.7,2,0.5,60.376,6.566,1457,1457,0,500,500
19,2,1,0.5,2,1.5,1,0.7,2,0.5,59.992,6.723,1625,1625,0,500,500
20,2,1,0.5,2,1.5,1,0.7,2,0.5,60.446,6.663,1532,1532,0,500,500
