Iteration,wSeparation,wAlignment,wCohesion,wWaypoint,s_wSeparation,s_wAlignment,s_wCohesion,s_wWaypoint,SecondaryFraction,MeanTransit,Throughput,TotalCollisions,BoidBoidCollisions,BoidWallCollisions,Finished,Spawned
1,2,1,0.5,2,2,0.5,0.5,1,0.5,64.988,5.000,531,531,0,492,500
2,2,1,0.5,2,2,0.5,0.5,1,0.5,64.144,4.999,622,622,0,484,500
3,2,1,0.5,2,2,0.5,0.5,1,0.5,63.205,5.000,676,676,0,494,500
4,2,1,0.5,2,2,0.5,0.5,1,0.5,63.612,5.000,612,612,0,491,500
5,2,1,0.5,2,2,0.5,0.5,1,0.5,63.281,5.000,522,522,0,496,500
6,2,1,0.5,2,2,0.5,0.5,1,0.5,63.292,5.000,593,593,0,490,500
7,2,1,0.5,2,2,0.5,0.5,1,0.5,63.893,5.000,562,562,0,487,500
8,2,1,0.5,2,2,0.5,0.5,1,0.5,62.829,4.999,684,684,0,493,500
9,2,1,0.5,2,2,0.5,0.5,1,0.5,63.653,5.000,569,569,0,489,500
10,2,1,0.5,2,2,0.5,0.5,1,0.5,63.669,5.000,580,580,0,493,500
11,2,1,0.5,2,2,0.5,0.5,1,0.5,63.483,4.999,544,544,0,488,500
12,2,1,0.5,2,2,0.5,0.5,1,0.5,64.315,4.999,654,654,0,487,500
13,2,1,0.5,2,2,0.5,0.5,1,0.5,62.935,5.000,613,613,0,491,500
14,2,1,0.5,2,2,0.5,0.5,1,0.5,62.802,5.000,553,553,0,493,500
15,2,1,0.5,2,2,0.5,0.5,1,0.5,62.988,4.999,545,545,0,489,500
16,2,1,0.5,2,2,0.5,0.5,1,0.5,63.602,5.000,532,532,0,491,500
17,2,1,0.5,2,2,0.5,0.5,1,0.5,63.020,5.000,670,670,0,487,500
18,2,1,0.5,2,2,0.5,0.5,1,0.5,64.566,4.999,710,710,0,489,500
19,2,1,0.5,2,2,0.5,0.5,1,0.5,63.550,5.000,741,741,0,490,500
20,2,1,0.5,2,2,0.5,0.5,1,0.5,64.427,4.999,612,612,0,488,500
