Iteration,wSeparation,wAlignment,wCohesion,wWaypoint,s_wSeparation,s_wAlignment,s_wCohesion,s_wWaypoint,SecondaryFraction,MeanTransit,Throughput,TotalCollisions,BoidBoidCollisions,BoidWallCollisions,Finished,Spawned
1,2,1,0.5,2,4,1,0.3,2,0.5,66.354,5.000,322,322,0,480,500
2,2,1,0.5,2,4,1,0.3,2,0.5,64.964,5.000,315,315,0,481,500
3,2,1,0.5,2,4,1,0.3,2,0.5,64.043,5.000,263,263,0,477,500
4,2,1,0.5,2,4,1,0.3,2,0.5,64.258,5.000,260,260,0,479,500
5,2,1,0.5,2,4,1,0.3,2,0.5,64.827,4.999,316,316,0,480,500
6,2,1,0.5,2,4,1,0.3,2,0.5,64.149,5.000,363,363,0,485,500
7,2,1,0.5,2,4,1,0.3,2,0.5,64.497,5.000,245,245,0,489,500
8,2,1,0.5,2,4,1,0.3,2,0.5,63.900,5.000,320,320,0,475,500
9,2,1,0.5,2,4,1,0.3,2,0.5,64.324,5.000,271,271,0,468,500
10,2,1,0.5,2,4,1,0.3,2,0.5,65.290,5.000,340,340,0,484,500
11,2,1,0.5,2,4,1,0.3,2,0.5,65.446,5.000,292,292,0,486,500
12,2,1,0.5,2,4,1,0.3,2,0.5,63.559,4.999,241,241,0,486,500
13,2,1,0.5,2,4,1,0.3,2,0.5,63.637,5.000,226,226,0,487,500
14,2,1,0.5,2,4,1,0.3,2,0.5,64.366,5.000,268,268,0,477,500
15,2,1,0.5,2,4,1,0.3,2,0.5,64.472,5.000,293,293,0,488,500
16,2,1,0.5,2,4,1,0.3,2,0.5,64.067,5.000,337,337,0,486,500
17,2,1,0.5,2,4,1,0.3,2,0.5,63.674,5.000,321,321,0,481,500
18,2,1,0.5,2,4,1,0.3,2,0.5,63.250,5.000,347,347,0,476,500
19,2,1,0.5,2,4,1,0.3,2,0.5,64.084,5.000,277,277,0,485,500
20,2,1,0.5,2,4,1,0.3,2,0.5,63.761,4.999,279,279,0,486,500
